,Date,Low,High,Close,Open
5979,2018-10-01,226.35,229.42,227.26,227.95
5978,2018-09-28,224.02,225.84,225.74,224.79
5977,2018-09-27,223.54,226.44,224.95,223.82
5976,2018-09-26,219.76,223.75,220.42,221.0
5975,2018-09-25,219.7,222.82,222.19,219.75
5974,2018-09-24,216.63,221.26,220.79,216.82
5973,2018-09-21,217.29,221.36,217.66,220.78
5972,2018-09-20,219.15,222.28,220.03,220.24
5971,2018-09-19,215.3,219.62,218.37,218.5
5970,2018-09-18,217.12,221.85,218.24,217.79
5969,2018-09-17,217.27,222.95,217.88,222.15
5968,2018-09-14,222.522,226.84,223.84,225.75
5967,2018-09-13,222.57,228.35,226.41,223.52
5966,2018-09-12,219.84,225.0,221.07,224.94
5965,2018-09-11,216.56,224.299,223.85,218.01
5964,2018-09-10,216.47,221.85,218.33,220.95
5963,2018-09-07,220.71,225.37,221.3,221.85
5962,2018-09-06,221.3,227.35,223.1,226.23
5961,2018-09-05,225.1,229.67,226.87,228.99
5960,2018-09-04,226.63,229.18,228.36,228.41
5959,2018-08-31,226.0,228.87,227.63,226.51
5958,2018-08-30,222.4,228.26,225.03,223.25
5957,2018-08-29,219.41,223.49,222.98,220.15
5956,2018-08-28,218.92,220.54,219.7,219.01
5955,2018-08-27,216.33,218.74,217.94,217.15
5954,2018-08-24,215.11,216.9,216.16,216.6
5953,2018-08-23,214.6,217.05,215.49,214.65
5952,2018-08-22,213.84,216.36,215.05,214.1
5951,2018-08-21,214.025,217.19,215.04,216.8
5950,2018-08-20,215.11,219.18,215.46,218.1
5949,2018-08-17,213.16,217.95,217.58,213.44
5948,2018-08-16,211.47,213.8121,213.32,211.75
5947,2018-08-15,208.33,210.74,210.24,209.22
5946,2018-08-14,208.26,210.56,209.75,210.155
5945,2018-08-13,207.7,210.952,208.87,207.7
5944,2018-08-10,206.67,209.1,207.53,207.36
5943,2018-08-09,207.2,209.78,208.88,207.28
5942,2018-08-08,204.52,207.81,207.25,206.05
5941,2018-08-07,206.76,209.5,207.11,209.32
5940,2018-08-06,207.07,209.25,209.07,208.0
5939,2018-08-03,205.4803,208.74,207.99,207.03
5938,2018-08-02,200.35,208.38,207.39,200.58
5937,2018-08-01,197.31,201.76,201.5,199.13
5936,2018-07-31,189.34,192.14,190.29,190.3
5935,2018-07-30,189.07,192.2,189.91,191.9
5934,2018-07-27,190.1,195.19,190.98,194.99
5933,2018-07-26,193.61,195.96,194.21,194.61
5932,2018-07-25,192.43,194.85,194.82,193.0602
5931,2018-07-24,192.05,193.6601,193.0,192.45
5930,2018-07-23,189.56,191.96,191.61,190.68
